408,9.2,5.8,0.3,0.0,74,66,199,抹茶優格星冰樂 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100,1,6,3.5,0,12,12,20,甜香草奶油冷萃咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
200,10.8,10.6,6.6,0,16,15,160,特選馥郁那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
225,7.2,7.0,4.1,0.0,33,27,96,熱檸檬柚子抹茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
32,0.0,0.0,0.0,0.0,8,8,1,葡萄蘆薈洋甘菊茶 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
127,1.0,0.9,0.7,0.0,31,25,66,檸檬柚子抹茶星冰茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
110,0.0,0.0,0.0,0.0,30,29,46,葡萄蘆薈洋甘菊星冰茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
6,0.4,0.0,0.0,0,1,0,0,濃縮咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
105,1.0,0.6,0.4,0.0,24,17,26,檸檬柚子抹茶冰搖茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
90,0.0,0.0,0.0,0.0,22,21,13,葡萄蘆薈洋甘菊冰搖茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
222,6.0,9.5,5.1,0,28,26,93,楓糖胡桃風味那堤 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
2,0,0,0,0,0.4,0,2,茶瓦納洋甘菊花草茶 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
3,0,0,0,0,0.7,0,2,茶瓦納英式早餐紅茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
396,5.6,11.9,6.9,0,40,38,188,科學怪怪星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
242,6.0,11.0,6.7,0,30,27,80,香草牛軋糖風味那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
87,0.1,0.5,0.5,0,23,22,26,茶瓦納蘋果紅茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
78,0.1,0.7,0.6,0,21,20,29,冰茶瓦納蘋果紅茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
291,5.7,13.4,8.2,0,37,33,79,冰香草牛軋糖風味那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
3,0.3,0.1,0.0,0,0,0,5,每日精選咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
206,5.6,10.2,6.1,0,23,21,78,薑餅香風味那堤(台北時代門市獨家銷售),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
257,5.8,13.0,7.8,0,29,27,89,冰薑餅香風味那堤(台北時代門市獨家銷售),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
5,0,0,0,0,0,0,5,氮氣冷萃咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
217,5.9,9.9,6.0,0,26,23,72,栗香蒙布朗風味那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
184,5.9,5.8,3.4,0,27,23,83,黑糖豆香慕斯那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
286,6.5,11.9,7.1,0,38,34,230,海鹽焦糖摩卡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
173,6.2,7.3,3.8,0,20,17,78,夏威夷巧克力卡布奇諾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
254,7.1,11.7,6.6,0,29,24,93,冰夏威夷巧克力卡布奇諾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
78,0.1,0,0,0,20,19,9,紫檸檬冷萃咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
106,1.6,4.1,3.6,0,15.8,11,14,紅玉紅茶瓜地馬拉冰咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
65,3.6,3.5,2.0,0,5,5,45,咖啡密斯朵,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
388,4.6,13.4,8.6,0,62,62,173,草莓蜜香奶霜星冰樂 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
194,6.0,7.0,4.6,0,26.6,17.0,86,覆盆子優格飲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
199,6.0,6.7,4.3,0.0,28.6,19.0,82,藍莓優格飲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
146.4,0.3,0,0,0,36.3,33.6,30,煙燻烏梅汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
110.4,2.7,0.0,0.0,0.0,24.9,21.9,345,橘色蔬菜綜合果汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
170.4,1.5,0,0,0,41.1,36.0,4,鳳梨汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
156,0.9,0,0,0,38.1,29.4,12,草莓綜合果昔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
440,7.3,21.6,11.4,0.0,59,51,481,夜色摩卡星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
