Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
84.0,0.4,0.0,0.0,0.0,19.0,18.0,0.046,椰汁冰搖濃縮咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_椰汁冰搖濃縮咖啡
377.0,4.9,14.8,9.5,0.0,56.0,54.0,0.179,草莓抹茶星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓抹茶星冰樂
2.0,0.3,0.1,0.0,0.0,0.0,0.0,0.009,冷萃咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冷萃咖啡
314.0,4.0,11.0,7.1,0.0,49.0,46.0,0.23,米花索(Me Fa So)星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_米花索(Me Fa So)星冰樂
442.0,5.8,21.0,16.3,0.0,57.0,54.0,0.222,草莓YES!星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓YES!星冰樂
84.0,1.5,0.0,0.0,0.0,19.5,16.8,0.019,綠色蔬菜綜合果汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_綠色蔬菜綜合果汁
73.2,2.1,0.0,0.0,0.0,16.2,15.0,0.176,紅色蔬菜綜合果汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_紅色蔬菜綜合果汁
396.0,5.1,15.2,8.8,0.0,60.0,52.0,0.22,棉花糖餅乾風味星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_棉花糖餅乾風味星冰樂
412.0,5.4,14.8,9.3,0.0,64.0,62.0,0.181,茶&茶星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_茶&茶星冰樂
318.0,3.9,9.5,5.7,0.0,53.0,50.0,0.17,愛爾蘭布丁咖啡星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_愛爾蘭布丁咖啡星冰樂
