Intake_g,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
127.0,135.0,4.2,8.5,3.4,0.0,10.2,9.1,0.117,樂活沙拉,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_樂活沙拉
119.0,338.0,12.9,3.7,2.7,0.0,63.3,13.2,0.544,農夫麵包,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_農夫麵包
470.0,1499.0,30.1,78.5,34.8,0.0,168.3,125.0,0.367,黑森林蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_黑森林蛋糕
184.0,134.0,1.8,8.3,1.3,0.0,12.9,8.6,0.114,LOHAS蔬果棒,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_LOHAS蔬果棒
105.0,231.0,11.2,8.7,2.0,0.0,27.0,3.0,0.415,雙菇烘蛋堡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_雙菇烘蛋堡
90.0,353.0,4.2,19.9,13.1,0.4,33.7,21.3,0.298,巧克力麥芬,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_巧克力麥芬
100.0,536.0,11.0,48.0,30.0,0.0,15.0,10.0,0.02,Starbucks 88% 黑巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_Starbucks 88% 黑巧克力
100.0,467.0,4.1,19.7,11.3,0.1,68.4,31.5,0.251,比利時焦糖煎餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_比利時焦糖煎餅
40.0,419.0,1.2,9.2,8.7,0.0,82.9,63.5,0.101,耶誕抱枕(牛奶糖),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_耶誕抱枕(牛奶糖)
450.0,1404.0,19.4,70.7,65.7,1.8,172.4,81.9,0.207,六吋檸檬塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_六吋檸檬塔
77.0,383.0,0.6,0.4,0.2,0.0,94.2,67.2,0.002,耶誕襪水果軟糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_耶誕襪水果軟糖
42.0,523.0,7.3,31.3,19.9,0.0,53.0,38.3,0.031,佛羅娜巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_佛羅娜巧克力
45.0,569.0,11.7,38.1,24.1,0.0,44.8,21.8,0.008,77%巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_77%巧克力
50.0,455.0,4.7,19.1,11.9,0.0,66.0,51.4,0.018,橘條巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_橘條巧克力
60.0,550.0,5.8,33.3,17.1,0.0,56.9,22.6,0.025,巧克力洋芋片,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_巧克力洋芋片
120.0,545.0,4.9,31.2,18.1,0.0,61.1,43.7,0.072,耶誕花圈(榛果巧克力),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_耶誕花圈(榛果巧克力)
