重量,熱量,蛋白質,脂肪,飽和脂肪,反式脂肪,碳水化合物,糖,鈉,食物名,品牌,資料來源,更新時間,食用量
184.0,339.0,10.9,15.5,3.1,0.0,39.2,0.0,605.0,青蔬沙拉米捲餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
95.0,263.0,3.1,11.2,6.1,0.1,37.1,18.8,28.0,法式藍莓塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,396.0,3.0,4.5,1.4,0.0,85.9,48.3,135.0,酸口味軟糖(草莓風味),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
79.2,493.0,4.7,20.3,16.4,0.0,72.8,33.2,195.0,草莓巧克酥捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,402.0,12.2,27.4,13.1,1.0,26.7,4.3,557.0,起司里肌可頌,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
80.0,240.0,6.0,16.7,10.0,0.2,16.3,6.6,35.0,法式千層薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,264.0,3.8,7.8,1.9,0.0,44.7,2.8,441.0,火腿蛋沙拉三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
195.0,443.0,29.6,14.0,7.4,0.2,49.3,2.0,764.0,松露魚排堡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
75.0,326.0,7.0,19.0,10.0,0.0,32.0,12.0,260.0,杏仁可頌,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
68.0,221.0,5.0,14.3,7.5,0.0,18.4,11.6,58.0,蜂蜜蛋糕捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
95.0,218.0,4.1,10.1,4.9,0.0,27.6,18.0,48.0,芒果戚風蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
20.0,92.8,1.4,2.9,2.3,0.0,15.3,10.4,28.0,星冰樂捲心棒,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
650.0,2022.0,42.3,126.8,71.0,2.0,177.5,57.2,520.0,6吋提拉米蘇千層薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
340.0,1105.0,24.1,71.1,37.7,0.0,92.1,57.8,289.0,長條蜂蜜蛋糕捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
