Brand,Name,Portions,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Na_g,Cho_g,Resource,UpdateTime,BraName
MOS BURGER,可樂,一份,248  ,0  ,0  ,0  ,0  ,0.012,64.9  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_可樂
MOS BURGER,雪碧,一份,271  ,0  ,0  ,0  ,0  ,0.0531,64.9  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雪碧
MOS BURGER,摩斯鮮乳,一份,128.8  ,8.3  ,9.3  ,6.3  ,0  ,0.113,9.6  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯鮮乳
MOS BURGER,柚子熱茶,一份,120  ,0  ,0  ,0  ,0  ,0.0001,30  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_柚子熱茶
MOS BURGER,帶骨香腸,一份,209  ,13.3  ,16.4  ,6.8  ,0  ,0.524,2.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_帶骨香腸
MOS BURGER,方塊薯餅(3個),一份,227.2  ,2.3  ,15.6  ,4.5  ,0  ,0.3722,18.5  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_方塊薯餅(3個)
MOS BURGER,摩斯純淨天然水,一份,0  ,0  ,0  ,0  ,0  ,0.0,0  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯純淨天然水
MOS BURGER,摩斯純淨水,一份,0  ,0  ,0  ,0  ,0  ,0.0,0  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯純淨水
MOS BURGER,摩斯雞塊(6個),一份,517.2  ,23  ,41.8  ,6.2  ,0  ,0.5998,12  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯雞塊(6個)
MOS BURGER,黃金炸蝦堡,一份,390  ,16.4  ,17.7  ,1.8  ,0  ,0.65,41.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_黃金炸蝦堡
MOS BURGER,藜麥杏鮑菇珍珠堡,一份,332.3  ,8.6  ,3.6  ,0.6  ,0  ,0.534,66.4  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥杏鮑菇珍珠堡
MOS BURGER,元氣牛肉蛋堡,一份,471.5  ,22.8  ,27.8  ,9.9  ,0.7  ,0.7229,32.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_元氣牛肉蛋堡
MOS BURGER,黃金塔塔鱈魚堡,一份,361.8  ,18.5  ,13.7  ,1.4  ,0  ,0.4609,41.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_黃金塔塔鱈魚堡
MOS BURGER,培根雞蛋堡,一份,413  ,17.7  ,23.8  ,2.9  ,0  ,0.3445,56.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_培根雞蛋堡
MOS BURGER,火腿歐姆蛋堡,一份,282  ,15.1  ,11.6  ,2.7  ,0  ,0.4627,28.9  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_火腿歐姆蛋堡
MOS BURGER,蕃茄吉士蛋堡,一份,286  ,15.2  ,11.7  ,2.7  ,0  ,0.4645,29.9  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_蕃茄吉士蛋堡
