品牌,食物名,食用量,熱量,蛋白質,脂肪,飽和脂肪,反式脂肪,鈉,碳水化合物,資料來源,更新時間
MOS BURGER,玉米濃湯,一份,78 Kcal,1.4 g,3.0 g,0.3 g,0.1 g, 471 mg ,11.2 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,鮮菇濃湯,一份,79 Kcal,1.7 g,3.3 g,0.1 g,0 g, 807.5 mg ,10.8 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,蜂蜜檸檬蒟蒻,一份,97 Kcal,0 g,0 g,0 g,0 g, 44 mg ,24.3 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,葡萄蒟蒻,一份,103 Kcal,0 g,0 g,0 g,0 g, 30 mg ,25.8 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,熱摩斯咖啡,一份,3.6 Kcal,0.2 g,0 g,0 g,0 g, 1 mg ,0.7 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,冰摩斯咖啡,一份,4.2 Kcal,0.23 g,0 g,0 g,0 g, 1 mg ,0.81 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,熱摩斯奶茶,一份,153.1 Kcal,8.4 g,8.3 g,4.9 g,0 g, 127.4 mg ,11.2 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,熱拿鐵咖啡(M),一份,124.4 Kcal,6.6 g,6.5 g,4 g,0 g, 122 mg ,9.9 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,冰拿鐵咖啡(M),一份,118.7 Kcal,6.3 g,6.1 g,3.8 g,0 g, 116 mg ,9.6 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,熱卡布奇諾,一份,120.4 Kcal,6.3 g,6.1 g,3.8 g,0 g, 117 mg ,10 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,冰紅茶(M),一份,89 Kcal,0 g,0 g,0 g,0 g, 0 mg ,22.2 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,冰紅茶(L),一份,109 Kcal,0 g,0 g,0 g,0 g, 0 mg ,27.3 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,早餐冰咖啡(M),一份,49 Kcal,0 g,0 g,0 g,0 g, 0.3 mg ,12.7 g,http://www.mos.com.tw/index.aspx,20190101
